"recipe_id","name","value","unit"
"7","Cholesterol","240","
240 mg
	"
"7","Sodík","289","
289 mg
	"
"7","Sůl","0,70","0,70 g"
"7","Sacharidy","277,50","277,50 g"
"7"," – cukry","16,65","16,65 g"
"7"," ––– laktóza","0,00","0,00 g"
"7","Energie","33 301","33 301 kJ / 7 959 kcal"
"7","Bílkoviny","142,40","142,40 g"
"7"," – z toho živočišné bílkoviny","77,46","77,46 g"
"7"," – z toho rostlinné bílkoviny","64,94","64,94 g"
"7","Tuky","371,71","371,71 g"
"7"," – nasycené","215,02","215,02 g"
"7"," – nenasycené","128,92","128,92 g"
"7"," –– mononenasycené","104,71","104,71 g"
"7"," –– polynenasycené","24,21","24,21 g"
"7"," ––– omega 3","4,23","4,23 g"
"7","Vláknina","31,20","31,20 g"
"7","Cholesterol","2,66","
2,66 g
	"
"7","Sodík","933","
933 mg
	"
"7","Sůl","2,03","2,03 g"
"7","Sacharidy","995,47","995,47 g"
"7"," – cukry","591,67","591,67 g"
"7"," ––– laktóza","10,67","10,67 g"
