"recipe_id","name","description","amount"
"2","Olej řepkový","['70 g', '70 g ', ' oleje']","70 g"
"2","Cukr bílý","['1 lžička', '1 lžička ', ' cukru']","1 lžička"
"2","Droždí pekařské lisované","['30 g', '30 g ', ' čerstvého droždí']","30 g"
"2","","['']","
"
"2","","['']","
"
"2","Škvarky","['130 g', '130 g ', ' škvarků']","130 g"
"2","Olej řepkový","['30 g', '30 g ', ' oleje']","30 g"
"2","Cibule čerstvá","['80 g', '80 g ', ' cibule']","80 g"
"2","Česnek čerstvý","['2 stroužky', '2 stroužky ', ' česneku']","2 stroužky"
"2","Pepř černý","['čerstvě drcený pepř']","
"
"2","Sůl mořská","['špetka', 'špetka ', ' soli - dle potřeby']","špetka"
"2","","['']","
"
"2","","['']","
"
"2","Olej řepkový","['1,5 lžíce', '1,5 lžíce ', ' oleje na promazání boků ve formě']","1,5 lžíce"
"2","Vejce slepičí","['1', '1 ', ' vejce']","1"
"2","Sůl mořská","['trošku', 'trošku ', ' hrubozrnné soli a celého kmínu']","trošku"
